parcel,address,current_property_class,current_property_use,current_year_built,current_total_living_area,current_stories,current_assessed_value,lot_depth,lot_width,lot_size,max_n_units,lot_size_max_n_units,zoning_max_n_units,zoning,use,lot_minimum_per_du_sq_ft,lot_width_ft,front_yard_setback_ft,side_yard_setback_ft,rear_yard_setback_ft,reversed_corner_setback_ft,height_ft,lot_cvg_pct,usable_open_space_per_du_ft,distance_to_capitol_miles,latitude,longitude
81034310178,4817 Kim Ln,Residential,6 unit Apartment,1994,7292,2,985000,0.0,0.0,20844.0,13.896,13.896,100,SR-V1,Single-family attached (>8 units),1500,,25,6,30,12,40,90,100.0,4.996086604581976,43.109895115617874,-89.29799347470855
70926217104,929 S Brooks St,Commercial,12 unit Apartment,0,0,0,1606000,0.0,0.0,20969.1,13.979399999999998,13.979399999999998,200,TR-V2,Multi-family (>12 units),1500,60.0,20,10,25,12,40,70,,1.4740957451752017,43.056814707518924,-89.40018344742671
81030207014,3710 Packers Ave,Residential,Condominium,0,0,0,0,0.0,0.0,21019.25,14.012833333333331,14.012833333333331,200,SR-V2,Multi-family (>24 units),1500,60.0,25,10,30,12,52,60,,4.362367957430713,43.134409071976286,-89.35580847769027
80926406178,630 Troy Dr,Residential,Single family,1867,1843,2,329100,0.0,0.0,21060.0,14.04,14.04,100,SR-V1,Single-family attached (>8 units),1500,,25,6,30,12,40,90,100.0,4.100146562614127,43.134126372364335,-89.38758369502818
81028401082,2222 Independence Ln,Commercial,20 unit Apartment,0,0,0,1925000,0.0,0.0,21337.83,14.225220000000002,14.225220000000002,200,SR-V2,Multi-family (>24 units),1500,60.0,25,10,30,12,52,60,,5.296167765219058,43.1286251488377,-89.30976300506302
60801208112,17 S Wickham Ct,Residential,4 unit Apartment,1982,4000,2,515000,0.0,0.0,21344.4,14.2296,14.2296,100,SR-V1,Single-family attached (>8 units),1500,,25,6,30,12,40,90,100.0,6.558268804253649,43.02904811952733,-89.49799254638143
70901112155,1310 Hooker Ave,Residential,5 unit Apartment,1959,3850,2,530000,0.0,0.0,21344.4,14.2296,14.2296,200,TR-V2,Multi-family (>12 units),1500,60.0,20,10,25,12,40,70,,2.9150927322715794,43.1147985947689,-89.36600288884208
71003216085,74 Sinykin Cir,Residential,4 unit Apartment,1993,4632,2,590000,0.0,0.0,21349.31,14.232873333333334,14.232873333333334,100,SR-V1,Single-family attached (>8 units),1500,,25,6,30,12,40,90,100.0,4.554648429917191,43.10540572489822,-89.30460862646083
71003104016,1 N Thompson Dr,Residential,4 unit Apartment,1988,6480,2,855000,0.0,0.0,21414.0,14.276,14.276,100,SR-V1,Single-family attached (>8 units),1500,,25,6,30,12,40,90,100.0,5.155864634681751,43.09943231091845,-89.28814741912926
80926405021,717 Vera Ct,Commercial,Commercial exempt,0,0,0,0,0.0,0.0,21435.0,14.29,14.29,100,SR-V1,Single-family attached (>8 units),1500,,25,6,30,12,40,90,100.0,4.129389610132709,43.134596388769985,-89.38470058614328
71015407010,5113 Pebblebrook Dr,Residential,4 unit Apartment,1981,4116,2,585000,0.0,0.0,21532.0,14.354666666666668,14.354666666666668,100,SR-V1,Single-family attached (>8 units),1500,,25,6,30,12,40,90,100.0,4.7080496010079225,43.06709445277318,-89.29189418169591
70932205193,22 Heritage Cir,Commercial,8 unit Apartment,0,0,0,1152000,0.0,0.0,21653.54,14.435693333333331,14.435693333333331,100,SR-V1,Single-family attached (>8 units),1500,,25,6,30,12,40,90,100.0,4.267314777885803,43.04029652758457,-89.45439448579515
71014105095,6135 Dell Dr Unit CDM,Residential,Condominium,0,0,0,0,0.0,0.0,21666.0,14.444,14.444,100,SR-V1,Single-family attached (>8 units),1500,,25,6,30,12,40,90,100.0,5.632546774613444,43.07553488056737,-89.27302903709365
81022301121,4682 Hayes Rd,Residential,4 unit Apartment,1986,4208,2,550000,0.0,0.0,21705.0,14.47,14.47,200,SR-V2,Multi-family (>24 units),1500,60.0,25,10,30,12,52,60,,6.29293936569853,43.14263928820137,-89.30125544038208
81026355182,1823 Waterfall Way,Residential,Single family,2020,1519,2,438700,0.0,0.0,21761.0,10.8805,10.8805,100,TR-P,Single-family attached,2000,20.0,15,6,20,8,40,90,,6.307632780886745,43.123027650155166,-89.2784432785596
81031302095,1106 O'Neill Ave,Commercial,"Warehouse, mini type",0,0,0,470000,0.0,0.0,21880.0,29.17333333333333,29.17333333333333,200,TR-U1,Multi-family (>24 units),750,50.0,15,6,25,12,65,75,160.0,2.8073902886686364,43.11156897030126,-89.36073696929633
81034310160,4809 Kim Ln,Residential,6 unit Apartment,1994,7356,2,985000,0.0,0.0,21929.0,14.619333333333334,14.619333333333334,100,SR-V1,Single-family attached (>8 units),1500,,25,6,30,12,40,90,100.0,4.971664277266475,43.10975790780835,-89.29844198777894
81023301055,3518 Cross Hill Dr,Commercial,Commercial exempt,0,0,0,0,0.0,0.0,22000.0,8.0,14.666666666666666,8,TR-V1,Multi-family dwelling (5-8 units),1500,30.0,20,6,25,12,40,70,,6.886676318340909,43.14163929711141,-89.28327511324257
